"","10057.61.3","10057.62.4","10057.62.3","10057.62.2","10057.238.4","10057.238.2","10057.229.4","10057.61.1","10057.226.3","10057.226.2","10057.239.3","10057.243.3.1to10.and.1to2","10057.61.2","10057.250.1","10057.234.3","10057.196.2","10057.61.4","10057.242.3","10057.239.2","10057.236.2","10057.235.3","10057.194.3","10057.235.2","10057.229.3","10057.243.1","10057.195.4","10057.230.2","10057.269.4","10057.239.4","10057.60.3","10057.269.3","10057.232.2","10057.193.4","10057.233.2","10057.234.2","10057.236.3","10057.195.2","10057.58.4","10057.233.3","10057.234.4","10057.242.2","10057.60.4","10057.60.2","10057.270.4","10057.231.4","10057.232.3","10057.238.3","10057.227.4","10057.231.2","10057.230.4","10057.248.2","10057.197.2","10057.233.4","10057.271.3","10057.237.3","10057.267.4","10057.269.2","10057.226.4","10057.231.3","10057.228.4","10057.268.3","10057.196.3","10057.230.3","10057.193.1","10057.59.3","10057.246.2","10057.194.4","10057.268.4","10057.241.3","10057.58.3","10057.196.4","10057.267.2","10057.240.3","10057.245.3.1to10.and.1to4","10057.270.2","10057.59.4","10057.197.3","10057.249.2","10057.240.1","10057.241.2","10057.236.4","10057.268.2","10057.240.2","10057.237.4","10057.227.2","10057.237.2","10057.235.1","10057.268.1","10057.243.2","10057.59.1","10057.248.3","10057.231.1","10057.193.3","10057.227.3","10057.232.4","10057.235.4","10057.228.2","10057.58.2","10057.271.2","10057.271.1","10057.233.1","10057.236.1","10057.194.1","10057.246.1","10057.238.1","10057.228.3","10057.193.2","10057.249.3","10057.195.3","10057.270.1","10057.58.1","10057.269.1","10057.197.1","10057.226.1","10057.267.3","10057.62.1","10057.230.1","10057.232.1","10057.250.2","10057.245.2","10057.246.3","10057.237.1","10057.194.2","10057.195.1","10057.60.1","10057.241.1","10057.249.1","10057.234.1","10057.196.1","10057.239.1","10057.229.2","10057.228.1","10057.267.1","10057.242.1","10057.270.3","10057.227.1","10057.248.1","10057.245.1"
"1",0.000124672734073058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.00184887459807074,0.00153016613232294,0.000594076211491131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0.00220214139266459,0.000340174622973126,0.000539249672598413,0.000127975428717686,0.000121802679658953,0.000174978127734033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0.000179008294050958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.000498690936292233,8.03858520900322e-05,0,0,0,0,0,0.000511901714870745,0,0,0,7.21084511104701e-05,0.000107330685843083,0.000903070439494281,0.000270416441319632,0.00012868356710848,0.000401284109149278,8.44594594594595e-05,0.00015118300703001,9.68898362561767e-05,7.15051841258491e-05,5.63348543744014e-05,7.46602956547708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.000498690936292233,0,0,0,7.59359100918825e-05,0.000113391540991042,7.7035667514059e-05,0,0.000121802679658953,0.000174978127734033,0,0.000432650706662821,0,0,0.000180277627546421,0.000386050701325441,0,0,0.00015118300703001,0,0,0,0,6.23247117482082e-05,0.000644606789858186,0.0005616399887672,0.000273224043715847,0.000363856882959369,6.22316261123903e-05,0.00155102884913659,0.000158252888115208,6.79855870555442e-05,0.000253015096567429,0.000363319284987647,9.1734703238235e-05,0.000138064337981499,4.86381322957198e-05,0.000203334688897926,0.000108395208931765,0.000335532938150095,9.02853015529072e-05,0.000679501698754247,0.000688823833304632,0.000149075730471079,0.000188394875659382,0.000130616509926855,0.000269305864135192,0.000198688654877806,0.000105540897097625,0.000115180833909237,8.91503967192654e-05,9.89511181476351e-05,6.71005837750788e-05,8.00192046091062e-05,0.000114285714285714,8.86682035821954e-05,0.000128932439401753,7.46324352563624e-05,0.000101461038961039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0.000107330685843083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08570851020821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17436404050383e-05,0.000127129417747267,8.94054537326777e-05,6.67645880624917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176991150442478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,7.59359100918825e-05,0,0.000154071335028118,0.000895828001023803,0.000121802679658953,0,0,0,0.000214661371686165,0,9.01388137732107e-05,0,0,0,0,9.68898362561767e-05,0,5.63348543744014e-05,0,0,0,0,0,0.000646856680816657,6.22316261123903e-05,0.000310205769827319,0.000474758664345624,6.79855870555442e-05,8.43383655224762e-05,7.26638569975294e-05,9.1734703238235e-05,6.90321689907497e-05,0.000291828793774319,0.000508336722244815,0,0.000111844312716698,0,0.000226500566251416,0.000688823833304632,0.000149075730471079,0,0,0.000201979398101394,0,0,0,0,9.89511181476351e-05,0,0,0,0,0.000257864878803507,7.46324352563624e-05,0,0,0,8.94054537326777e-05,0,0,0.00126475548060708,7.69941484447182e-05,8.26924667162821e-05,6.94492673102299e-05,7.67459708365311e-05,9.36855911560802e-05,0.000111507582515611,8.37450799765514e-05,0.000122339124051872,0.000108143181572402,7.27696114102751e-05,0.000197941409342835,0.000226860254083485,9.01875901875902e-05,5.86475866518093e-05,8.06191551112544e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.000759359100918825,0,0,0,0,5.83260425780111e-05,0,0,0,0,0.0315485848206238,0,0,0.00481418918918919,0.0246428301458916,0.00319736459645383,0.00257418662853057,0,0.000223980886964312,0,0,0,6.83060109289617e-05,0,6.22316261123903e-05,0.00868576155516493,0,0.0405873954721599,0.00219279750358438,0,0.0604531694339969,0.000966450365870496,0,0,0.000162592813397648,0.00324348506878425,0.000722282412423258,0.0462061155152888,0.0280695712071638,0,0,0.00862068965517241,0,6.62295516259355e-05,0,0.000806265837364663,0.00276366229829723,0.000989511181476351,0.00134201167550158,0,0.000114285714285714,0,0.000128932439401753,0,0,0,0.000635647088736334,0,0.083789558018427,8.84955752212389e-05,0,0,0,6.94492673102299e-05,7.67459708365311e-05,0,0,0,0.000244678248103744,0.000108143181572402,0,0,0.000756200846944949,0,0.0953609758958419,0,0.00438382854359474,0.0111103443516666,0.00159306133286132,0.000295792353767655,0.00278022648674307,0.00126241373506144,4.39309405614374e-05,6.57505424419752e-05,0.00010958904109589,8.65201591970929e-05,0.000336587007741501,4.90749374294548e-05,7.98849656494648e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
